Date,Precipitation_mm,Avg_Temp,Средняя_влажность
2000-01-01,0.0,-10,77.0
2000-01-02,0.0,-10,77.0
2000-01-03,19.9,-10,75.0
2000-01-04,10.1,-10,71.0
2000-01-05,0.3,-16,77.0
2000-01-06,0.15,-26,78.0
2000-01-07,0.0,-16,82.0
2000-01-08,0.6,-8,83.0
2000-01-09,1.4,-10,86.0
2000-01-10,0.3,-8,90.0
2000-01-11,0.4,-6,90.0
2000-01-12,0.3,-5,90.0
2000-01-13,0.0,-5,83.0
2000-01-14,0.0,-6,86.0
2000-01-15,0.0,-9,82.0
2000-01-16,0.0,-7,87.0
2000-01-17,0.0,-8,85.0
2000-01-18,0.4,-10,86.0
2000-01-19,0.0,-8,80.0
2000-01-20,3.4,-4,87.0
2000-01-21,7.2,-4,89.0
2000-01-22,0.8,-14,85.0
2000-01-23,0.8,-19,82.0
2000-01-24,0.8,-18,81.0
2000-01-25,0.0,-18,80.0
2000-01-26,0.4,-10,75.0
2000-01-27,0.8,-2,90.0
2000-01-28,0.4,-11,74.0
2000-01-29,0.0,-19,73.0
2000-01-30,0.8,-4,88.0
2000-01-31,0.2,-4,80.0
2000-02-01,1.95,-7,77.0
2000-02-02,3.7,-5,87.0
2000-02-03,1.9,-7,86.0
2000-02-04,4.4,0,93.0
2000-02-05,0.2,-2,87.0
2000-02-06,0.0,-11,80.0
2000-02-07,0.0,-11,81.0
2000-02-08,3.5,-8,83.0
2000-02-09,0.4,-9,85.0
2000-02-10,3.4,-3,93.0
2000-02-11,0.3,0,95.0
2000-02-12,0.0,0,88.0
2000-02-13,0.0,-2,87.0
2000-02-14,1.1,-2,87.0
2000-02-15,0.0,-5,82.0
2000-02-16,0.0,-5,85.0
2000-02-17,2.1,-3,87.0
2000-02-18,1.0,-2,90.0
2000-02-19,0.8333333333333334,-7,77.0
2000-02-20,0.6666666666666667,-16,79.0
2000-02-21,0.5,-15,69.0
2000-02-22,0.3333333333333333,-16,64.0
2000-02-23,0.1666666666666667,-16,75.0
2000-02-24,0.0,-11,79.0
2000-02-25,0.0,-12,79.0
2000-02-26,0.0,-10,80.0
2000-02-27,0.0,-12,89.0
2000-02-28,0.0,-17,79.0
2000-02-29,0.0,-17,77.0
2000-03-01,0.0,-5,79.0
2000-03-02,0.0,-8,91.0
2000-03-03,0.0,-11,88.0
2000-03-04,0.0,-7,86.0
2000-03-05,0.0,-14,79.0
2000-03-06,0.0,-16,79.0
2000-03-07,0.0,-12,79.0
2000-03-08,0.0,-6,78.0
2000-03-09,0.0,-3,87.0
2000-03-10,0.0,0,89.0
2000-03-11,0.0,0,83.0
2000-03-12,10.6,-4,84.0
2000-03-13,8.48,-13,84.0
2000-03-14,6.359999999999999,-15,84.0
2000-03-15,4.239999999999999,-14,79.0
2000-03-16,2.119999999999999,-14,80.0
2000-03-17,0.0,-15,80.0
2000-03-18,1.4833333333333334,-15,75.0
2000-03-19,2.966666666666667,-13,72.0
2000-03-20,4.45,-13,76.0
2000-03-21,5.933333333333334,-10,74.0
2000-03-22,7.416666666666667,-5,72.0
2000-03-23,8.9,-2,88.0
2000-03-24,0.0,-3,80.0
2000-03-25,2.15,-3,78.0
2000-03-26,4.3,-1,91.0
2000-03-27,0.3,-3,86.0
2000-03-28,1.1,-4,88.0
2000-03-29,2.9,-1,87.0
2000-03-30,0.0,-6,83.0
2000-03-31,0.0,-4,76.0
2000-04-01,0.0,-4,73.0
2000-04-02,0.0,-2,79.0
2000-04-03,0.0,-1,74.0
2000-04-04,0.0,-1,74.0
2000-04-05,0.0,3,64.0
2000-04-06,0.0,0,89.0
2000-04-07,0.0,0,88.0
2000-04-08,1.3,3,90.0
2000-04-09,1.9666666666666668,8,79.0
2000-04-10,2.6333333333333333,8,76.0
2000-04-11,3.3,8,82.0
2000-04-12,6.5,8,89.0
2000-04-13,2.1,8,90.0
2000-04-14,1.8666666666666667,9,83.0
2000-04-15,1.6333333333333333,10,71.0
2000-04-16,1.4,12,61.0
2000-04-17,1.1666666666666667,14,64.0
2000-04-18,0.9333333333333332,18,53.0
2000-04-19,0.7000000000000002,16,52.0
2000-04-20,0.4666666666666668,18,55.0
2000-04-21,0.2333333333333334,20,55.0
2000-04-22,0.0,16,50.0
2000-04-23,0.0,22,46.0
2000-04-24,0.0,23,54.0
2000-04-25,0.0,22,47.0
2000-04-26,0.0,22,51.0
2000-04-27,0.0,22,50.0
2000-04-28,0.0,22,51.0
2000-04-29,0.0,18,68.0
2000-04-30,0.0,16,62.0
2000-05-01,0.0,10,68.0
2000-05-02,0.0,9,50.0
2000-05-03,0.0,9,49.0
2000-05-04,0.0,8,61.0
2000-05-05,0.225,13,54.0
2000-05-06,0.45,16,39.0
2000-05-07,0.675,13,57.0
2000-05-08,0.9,15,72.0
2000-05-09,14.1,16,78.0
2000-05-10,23.9,12,86.0
2000-05-11,5.1,8,85.0
2000-05-12,0.0,10,72.0
2000-05-13,1.1,10,74.0
